ticker,close_time_utc,close_date_utc,close_time_et,close_date_et,close_hour_et,close_hour_bucket_et,horizon_seconds,selected_timestamp_utc,selected_remaining_seconds,horizon_abs_error_seconds,yes_mid,more_likely_side,more_likely_mid,cost,price_bin,official_outcome,official_raw_result,official_status,official_settlement_ts,official_settlement_value_dollars,official_expiration_value,official_floor_strike,resolved,success,gross_pnl
KXETH15M-26JUN041100-00,2026-06-04T15:00:00Z,2026-06-04,2026-06-04T11:00:00-04:00,2026-06-04,11,08-11,780,2026-06-04T14:46:59.937000Z,780.063,0.063,0.515000,YES,0.515000,0.520000,0.50-0.60,YES,yes,finalized,2026-06-04T15:00:08.156133Z,1.0000,1772.39,1771.83,1,1,0.480000
KXETH15M-26JUN041100-00,2026-06-04T15:00:00Z,2026-06-04,2026-06-04T11:00:00-04:00,2026-06-04,11,08-11,840,2026-06-04T14:46:03.048000Z,836.952,3.048,0.520000,YES,0.520000,0.530000,0.50-0.60,YES,yes,finalized,2026-06-04T15:00:08.156133Z,1.0000,1772.39,1771.83,1,1,0.470000
KXETH15M-26JUN041100-00,2026-06-04T15:00:00Z,2026-06-04,2026-06-04T11:00:00-04:00,2026-06-04,11,08-11,900,2026-06-04T14:45:14.652000Z,885.348,14.652,0.435000,NO,0.565000,0.570000,0.50-0.60,YES,yes,finalized,2026-06-04T15:00:08.156133Z,1.0000,1772.39,1771.83,1,0,-0.570000
KXETH15M-26JUN041115-15,2026-06-04T15:15:00Z,2026-06-04,2026-06-04T11:15:00-04:00,2026-06-04,11,08-11,60,2026-06-04T15:14:20.007000Z,39.993,20.007,0.999500,YES,0.999500,1.000000,0.90-1.00,YES,yes,finalized,2026-06-04T15:15:08.146613Z,1.0000,1786.29,1772.39,1,1,0.000000
KXETH15M-26JUN041115-15,2026-06-04T15:15:00Z,2026-06-04,2026-06-04T11:15:00-04:00,2026-06-04,11,08-11,180,2026-06-04T15:11:58.967000Z,181.033,1.033,0.997500,YES,0.997500,0.999000,0.90-1.00,YES,yes,finalized,2026-06-04T15:15:08.146613Z,1.0000,1786.29,1772.39,1,1,0.001000
KXETH15M-26JUN041115-15,2026-06-04T15:15:00Z,2026-06-04,2026-06-04T11:15:00-04:00,2026-06-04,11,08-11,240,2026-06-04T15:10:58.814000Z,241.186,1.186,0.994500,YES,0.994500,0.995000,0.90-1.00,YES,yes,finalized,2026-06-04T15:15:08.146613Z,1.0000,1786.29,1772.39,1,1,0.005000
KXETH15M-26JUN041115-15,2026-06-04T15:15:00Z,2026-06-04,2026-06-04T11:15:00-04:00,2026-06-04,11,08-11,300,2026-06-04T15:09:59.053000Z,300.947,0.947,0.983000,YES,0.983000,0.986000,0.90-1.00,YES,yes,finalized,2026-06-04T15:15:08.146613Z,1.0000,1786.29,1772.39,1,1,0.014000
KXETH15M-26JUN041115-15,2026-06-04T15:15:00Z,2026-06-04,2026-06-04T11:15:00-04:00,2026-06-04,11,08-11,360,2026-06-04T15:09:00.487000Z,359.513,0.487,0.981500,YES,0.981500,0.983000,0.90-1.00,YES,yes,finalized,2026-06-04T15:15:08.146613Z,1.0000,1786.29,1772.39,1,1,0.017000
KXETH15M-26JUN041115-15,2026-06-04T15:15:00Z,2026-06-04,2026-06-04T11:15:00-04:00,2026-06-04,11,08-11,420,2026-06-04T15:07:59.370000Z,420.630,0.630,0.963500,YES,0.963500,0.965000,0.90-1.00,YES,yes,finalized,2026-06-04T15:15:08.146613Z,1.0000,1786.29,1772.39,1,1,0.035000
KXETH15M-26JUN041115-15,2026-06-04T15:15:00Z,2026-06-04,2026-06-04T11:15:00-04:00,2026-06-04,11,08-11,480,2026-06-04T15:06:59.688000Z,480.312,0.312,0.959000,YES,0.959000,0.960000,0.90-1.00,YES,yes,finalized,2026-06-04T15:15:08.146613Z,1.0000,1786.29,1772.39,1,1,0.040000
