ts_unix,open,high,low,close,vwap,volume
1780812000,61731.5,62248.7,61607.0,62082.8,62086.8,89.25746539
1780815600,62079.6,62395.6,61991.4,62381.1,62109.7,90.82949157
1780819200,62384.0,62914.4,62246.4,62829.5,62564.1,144.51688001
1780822800,62829.5,62875.3,62388.1,62510.3,62648.0,60.79377396
1780826400,62514.9,62545.0,62298.4,62361.8,62402.3,56.12214474
1780830000,62359.0,62725.9,62345.3,62615.0,62551.7,59.79877453
1780833600,62615.1,62621.0,61576.0,61870.6,61930.3,198.44352439
1780837200,61887.0,61887.0,61634.3,61700.1,61748.3,37.1719334
1780840800,61700.1,62278.5,61686.2,61891.1,61878.4,113.24341177
1780844400,61883.6,62178.9,61666.2,62067.1,61845.6,126.42016822
1780848000,62067.2,62287.1,61926.9,62050.2,62129.6,70.50551929
1780851600,62060.9,62292.2,62027.1,62134.1,62215.2,39.12243551
1780855200,62135.9,62274.3,62000.0,62008.1,62215.9,77.89172768
1780858800,62009.0,62009.0,61135.7,61305.5,61430.3,215.67421135
1780862400,61305.5,61925.7,61200.2,61867.4,61636.0,62.66600392
1780866000,61845.7,61966.5,61621.4,61746.6,61746.8,33.57585979
1780869600,61749.5,64613.0,61698.2,62845.3,63377.6,706.01536226
1780873200,62839.7,63400.0,62786.3,63307.6,63046.7,99.27221459
1780876800,63305.6,63821.5,63133.6,63615.3,63600.7,115.15685137
1780880400,63615.3,63615.3,62687.0,63166.3,62994.5,70.55506409
1780884000,63179.5,63229.6,62900.0,63104.5,63023.2,27.49769831
1780887600,63104.6,63429.8,62961.0,63078.2,63189.8,13.26390299
1780891200,63078.2,63144.7,62635.7,62674.9,62838.3,34.05854183
1780894800,62662.3,62788.0,62388.2,62712.6,62562.6,28.12543809
1780898400,62715.3,63100.7,62701.4,62961.7,62965.5,25.76413497
1780902000,62961.7,63304.6,62787.6,63230.4,63093.3,33.76935873
1780905600,63230.5,63230.5,62946.6,63094.7,63067.6,168.46573533
1780909200,63095.2,63546.2,63079.9,63451.5,63360.3,33.16425835
1780912800,63451.6,63483.1,63065.1,63099.9,63211.1,47.66501892
1780916400,63100.0,63811.3,63020.1,63438.0,63469.9,82.8509056
1780920000,63444.8,63880.0,62690.5,63788.3,63242.9,115.06556312
1780923600,63793.7,63899.9,63329.4,63711.8,63614.0,119.97247021
1780927200,63719.7,64057.0,63545.5,63926.5,63823.4,153.35826429
1780930800,63947.1,64189.0,63689.1,63745.4,63947.8,258.67154535
1780934400,63751.7,64025.3,63442.6,63504.1,63689.4,63.47916959
1780938000,63500.2,63612.1,63261.0,63517.6,63418.1,49.14980209
1780941600,63517.6,63666.1,63317.4,63445.7,63468.5,106.18828547
1780945200,63445.9,63561.6,63344.8,63344.8,63456.1,47.62503823
1780948800,63351.1,63468.1,63154.6,63467.0,63261.9,74.11636139
1780952400,63469.7,63826.8,63459.5,63718.8,63693.3,47.04356969
1780956000,63718.9,63718.9,63201.9,63433.7,63421.9,26.71642539
1780959600,63428.5,63577.8,62974.9,63076.4,63061.0,96.11955423
1780963200,63068.5,63148.6,62383.9,62546.4,62685.0,117.88196201
1780966800,62542.8,62863.8,62528.1,62760.2,62769.1,186.51080057
1780970400,62755.9,62852.3,62530.7,62843.6,62739.4,29.5200816
1780974000,62843.6,62944.6,62684.9,62851.4,62791.6,19.38536859
1780977600,62851.4,63384.2,62717.5,63203.8,63078.7,54.44961138
1780981200,63203.6,63467.9,63099.5,63317.5,63326.0,20.33119902
1780984800,63317.6,63453.1,63190.1,63257.7,63364.3,24.01033675
1780988400,63257.7,63405.5,62969.5,63158.5,63208.1,47.91668237
1780992000,63158.5,63167.5,62737.1,62817.5,62915.0,40.71025916
1780995600,62817.5,62911.0,62575.6,62677.5,62690.4,24.63701884
1780999200,62681.2,62784.7,62581.2,62762.2,62678.7,35.7048792
1781002800,62762.2,62775.6,62464.8,62680.2,62576.6,75.51267703
1781006400,62674.9,62870.4,62410.6,62619.4,62652.5,57.00513881
1781010000,62608.9,62692.6,62132.1,62240.1,62283.5,245.54071583
1781013600,62239.7,62361.9,61120.0,61493.8,61508.4,650.57662424
1781017200,61494.5,61655.2,61000.0,61087.9,61313.4,381.48073491
1781020800,61087.9,61421.9,60740.9,61346.5,61038.2,509.74906822
1781024400,61355.5,61830.7,61344.7,61643.5,61651.3,169.20047941
1781028000,61651.2,61916.6,61554.2,61742.3,61754.6,99.2769783
1781031600,61738.3,62050.0,61674.1,62050.0,61903.2,138.40581525
1781035200,62050.0,62208.7,61912.4,62118.5,62061.6,116.09112955
1781038800,62118.1,62146.1,61646.5,61718.8,61815.1,118.97227929
1781042400,61715.2,61919.5,61623.3,61681.6,61758.1,81.39055032
1781046000,61681.7,61827.8,61529.9,61690.4,61673.1,50.31374651
1781049600,61688.1,61873.7,61420.0,61873.6,61702.5,83.60487952
1781053200,61873.7,61918.3,61562.7,61670.6,61795.6,27.19255001
1781056800,61670.6,61797.2,61204.7,61265.9,61335.7,155.92669498
1781060400,61266.0,61542.9,61248.3,61500.0,61415.8,60.12265109
1781064000,61500.0,61500.0,61165.1,61256.5,61334.7,34.59063217
1781067600,61256.5,61354.2,61037.7,61300.2,61151.8,44.83673712
1781071200,61312.4,61466.7,61113.5,61426.7,61357.7,82.93495537
1781074800,61428.9,61759.9,61407.7,61640.0,61638.2,75.5425211
1781078400,61640.0,61676.0,61128.5,61214.6,61447.1,49.15799139
1781082000,61204.5,61363.6,60746.8,61280.8,60987.8,142.36463277
1781085600,61280.7,61393.0,61120.7,61344.3,61267.6,63.32545602
1781089200,61344.3,61401.7,60836.0,60981.8,61029.8,64.77481371
1781092800,60990.8,61871.7,60909.1,61540.2,61459.1,219.42142073
1781096400,61526.2,62395.6,61390.9,62077.0,61733.4,384.672522
1781100000,62094.0,62197.7,61769.0,62131.3,61979.7,90.62757018
1781103600,62141.6,62800.0,61813.0,62589.2,62433.3,252.9461054
1781107200,62589.2,62600.2,61879.1,62162.1,62116.1,229.91223137
1781110800,62162.2,62305.1,61597.9,61903.5,61988.8,220.18719061
1781114400,61920.1,62095.1,61555.0,61855.4,61811.7,152.13801254
1781118000,61809.7,62013.4,61613.4,61894.8,61853.2,76.27053286
1781121600,61881.0,61884.9,61636.6,61724.9,61735.6,63.68012099
1781125200,61725.0,61725.0,61131.3,61291.3,61501.2,183.9945022
1781128800,61291.4,61525.3,61042.6,61328.4,61245.3,65.01317581
1781132400,61326.7,61550.4,61121.0,61464.4,61415.4,40.17559852
1781136000,61459.1,61922.2,61459.0,61758.4,61750.3,40.44724751
1781139600,61758.4,62307.6,61758.3,62153.6,62127.2,49.37262419
1781143200,62153.6,62234.8,61888.0,62074.3,62095.6,64.33129456
1781146800,62073.7,62719.2,61955.0,62610.9,62371.4,101.48720785
1781150400,62601.3,62797.7,62471.2,62643.9,62690.4,180.16465942
1781154000,62643.9,62651.2,62497.5,62534.0,62571.4,30.45758497
1781157600,62534.1,62918.5,62473.3,62702.0,62800.3,38.97962004
1781161200,62702.0,62765.3,62538.6,62646.0,62647.2,32.34453153
1781164800,62639.6,62958.0,62639.5,62866.1,62838.3,30.08525316
1781168400,62866.2,62906.9,62699.3,62860.0,62761.0,69.02309751
1781172000,62842.4,63122.1,62734.9,63088.7,62916.5,101.25845124
1781175600,63088.7,63205.4,62988.3,63047.7,63095.7,29.14502422
1781179200,63047.7,63121.8,62459.4,62948.0,62753.9,84.9164737
1781182800,62948.0,63171.5,62619.0,63006.9,62885.7,73.76580059
1781186400,63006.9,63017.1,62665.7,62668.9,62860.3,67.08879462
1781190000,62669.0,62802.8,62453.5,62669.6,62628.9,65.32360432
1781193600,62670.5,62758.3,62495.7,62515.8,62628.7,45.06394494
1781197200,62515.9,63557.2,62268.5,63555.1,62958.1,210.26066113
1781200800,63558.0,63695.0,63262.6,63387.0,63447.3,145.95190865
1781204400,63389.0,63845.9,63323.5,63557.2,63671.4,140.82801962
1781208000,63553.9,63580.0,63217.1,63334.3,63386.2,36.14684558
1781211600,63334.4,63525.2,63334.3,63445.1,63444.0,58.9890339
1781215200,63445.2,63600.2,63407.3,63450.0,63504.1,26.19948937
1781218800,63443.1,63625.2,63300.2,63552.3,63440.1,80.33881995
1781222400,63553.7,63712.1,63468.8,63574.1,63636.5,70.56819282
1781226000,63574.1,63574.1,63242.7,63337.5,63376.6,47.56578749
1781229600,63337.5,63681.5,63337.5,63540.0,63512.8,48.64775902
1781233200,63540.0,63568.6,63285.5,63430.6,63427.8,22.24078165
1781236800,63430.6,63775.1,63354.4,63618.9,63629.1,29.63334209
1781240400,63619.0,63640.1,63239.8,63266.4,63391.2,23.47529123
1781244000,63271.0,63329.1,62765.3,62913.2,62964.6,56.00236035
1781247600,62900.2,63147.2,62879.7,63013.3,62983.4,25.26105161
1781251200,63013.3,63527.6,63013.2,63400.8,63251.8,51.17633842
1781254800,63400.8,63865.1,63359.6,63679.0,63664.5,33.77589986
1781258400,63679.0,63770.7,63530.0,63640.1,63656.4,37.35241162
1781262000,63640.2,63802.8,63624.0,63705.0,63733.0,25.12581801
1781265600,63705.0,63705.0,63323.4,63406.6,63452.0,54.7982311
1781269200,63406.7,63451.1,62997.5,63141.8,63207.8,63.58226759
1781272800,63141.8,63934.9,63114.6,63934.9,63499.3,78.76306644
1781276400,63934.9,64333.0,63508.2,63551.7,64067.5,300.43723503
1781280000,63554.2,63951.5,63493.5,63943.4,63718.8,144.50946109
1781283600,63941.7,64069.8,63706.0,63816.9,63836.9,47.26032743
1781287200,63816.9,63890.1,63641.3,63651.4,63747.2,56.48062875
1781290800,63652.7,63783.3,63567.0,63567.1,63647.0,31.83699196
1781294400,63567.1,63664.2,63372.2,63423.1,63495.9,124.5707122
1781298000,63423.0,63596.1,63390.7,63438.5,63473.6,112.52479141
1781301600,63438.2,63614.7,63433.5,63462.1,63482.4,49.13252298
1781305200,63462.1,63543.6,63385.4,63543.2,63452.4,42.67332681
1781308800,63543.3,63597.4,63488.0,63573.8,63533.7,14.19189773
1781312400,63573.8,63793.2,63573.7,63783.1,63689.3,16.7523937
1781316000,63783.0,63793.2,63525.7,63624.4,63685.4,15.60008096
1781319600,63622.0,63672.6,63418.5,63494.3,63520.0,11.36617562
1781323200,63494.3,63604.5,63450.1,63487.0,63533.2,9.41502522
1781326800,63487.1,63551.6,63474.3,63527.8,63520.0,19.29921989
1781330400,63534.7,63687.4,63527.8,63687.4,63595.2,6.73477954
1781334000,63687.4,63826.8,63642.7,63783.9,63754.5,16.22905272
1781337600,63795.2,63865.1,63736.1,63774.0,63793.8,12.40231448
1781341200,63774.0,63817.3,63712.8,63712.8,63768.4,5.7444144
1781344800,63712.9,63865.2,63703.3,63791.0,63778.4,9.44839446
1781348400,63791.1,63922.3,63791.0,63920.7,63891.5,12.00676501
1781352000,63920.7,64164.7,63877.4,64100.0,64005.7,23.91681932
1781355600,64100.1,64211.3,64019.2,64068.9,64114.8,38.78211905
1781359200,64069.0,64192.8,64046.4,64188.1,64123.1,68.52448458
1781362800,64188.1,64294.0,64139.3,64253.4,64239.4,58.53697109
1781366400,64258.3,64263.4,63893.2,63988.5,64013.2,108.99693743
1781370000,63988.5,64087.9,63915.0,63944.3,64005.3,40.97228759
1781373600,63944.4,64247.8,63944.3,64129.6,64124.7,34.31804286
1781377200,64129.6,64294.0,64120.4,64281.7,64174.9,84.13741292
1781380800,64281.8,64281.8,64206.4,64253.2,64239.1,29.97026742
1781384400,64257.2,64750.0,64200.7,64442.9,64481.5,79.27035847
1781388000,64442.9,64531.8,64360.3,64437.2,64433.0,25.49900791
1781391600,64437.2,64562.6,64366.2,64404.0,64427.2,40.19924199
1781395200,64415.6,64544.7,64367.1,64535.2,64405.4,69.12970427
1781398800,64534.6,64670.1,64500.0,64560.9,64606.9,19.56920432
1781402400,64559.5,64606.8,64452.1,64473.9,64549.1,9.96787083
1781406000,64474.0,64512.8,64442.7,64512.8,64489.1,12.98110822
1781409600,64512.8,64519.1,64320.1,64320.2,64447.9,21.40590589
1781413200,64320.2,64382.3,64280.3,64331.7,64318.1,16.59356425
1781416800,64331.7,64445.1,64234.0,64257.5,64309.8,30.1046267
1781420400,64257.5,64411.8,64205.2,64409.8,64321.3,14.26506383
1781424000,64409.8,64470.1,64365.9,64430.3,64412.6,12.010108
1781427600,64430.4,64570.1,64300.0,64570.0,64443.9,16.1993329
1781431200,64570.1,64620.0,64470.2,64500.1,64557.4,9.16269318
1781434800,64500.1,64600.4,64420.1,64521.5,64559.5,15.83227581
1781438400,64521.5,64528.8,64270.1,64282.9,64412.0,18.395013
1781442000,64283.0,64358.8,64218.6,64272.8,64290.6,39.75505624
1781445600,64272.8,64302.7,63850.7,63941.5,64075.0,96.60158663
1781449200,63942.3,64106.8,63942.2,63982.4,64047.2,44.37112616
1781452800,63983.9,64170.7,63900.0,63915.4,64076.6,53.23907326
1781456400,63915.4,63988.2,63665.0,63702.2,63807.9,46.87983307
1781460000,63702.3,63782.2,63643.3,63777.3,63720.0,42.56951986
1781463600,63777.3,63816.8,63712.0,63750.0,63776.7,62.07976712
1781467200,63750.0,64077.7,63749.9,63975.3,63924.2,31.30646882
1781470800,63975.3,65632.9,63975.3,65273.3,65098.4,413.11427852
1781474400,65273.4,65483.1,64923.7,65380.6,65274.2,192.33927753
1781478000,65380.5,65750.0,65221.9,65715.1,65542.3,159.86959193
1781481600,65715.1,65847.0,65467.8,65580.2,65655.7,96.27831586
1781485200,65580.2,65696.5,65321.7,65461.9,65492.2,38.41075932
1781488800,65461.9,65715.3,65402.0,65420.2,65551.7,35.13640237
1781492400,65420.2,65943.0,65410.2,65890.0,65848.6,126.96136886
1781496000,65890.1,65890.1,65610.6,65610.7,65824.4,103.72399041
1781499600,65610.7,65820.1,65600.0,65820.1,65726.3,28.84197981
1781503200,65820.1,65924.3,65738.6,65778.1,65833.8,42.84746664
1781506800,65778.1,65950.0,65602.1,65622.4,65771.0,64.00003967
1781510400,65622.3,65738.6,65570.8,65625.2,65658.7,89.10577747
1781514000,65623.8,65738.5,65463.6,65550.7,65572.0,13.7004017
1781517600,65550.8,65904.8,65539.4,65870.8,65718.2,91.45664197
1781521200,65874.1,66330.4,65818.9,66197.5,66102.0,212.1708401
1781524800,66197.5,66578.1,66071.5,66535.5,66403.8,149.9726467
1781528400,66535.6,66900.0,66366.4,66412.4,66678.6,362.04340156
1781532000,66405.5,66627.1,66249.6,66551.2,66456.9,138.08156752
1781535600,66551.5,67244.4,66534.9,67243.2,66939.8,209.97456915
1781539200,67243.1,67263.5,67060.1,67145.1,67143.6,137.23771128
1781542800,67145.1,67145.1,66660.5,66816.4,66848.0,115.63653455
1781546400,66821.7,66894.4,66700.0,66738.8,66808.4,60.74491313
1781550000,66738.7,66866.7,66338.6,66555.0,66602.1,76.38199604
1781553600,66562.9,66649.3,66464.2,66477.2,66560.1,151.57233537
1781557200,66490.5,66534.6,66300.1,66331.7,66433.6,115.18216653
1781560800,66331.7,66431.7,66066.1,66165.0,66243.8,83.23436733
1781564400,66165.0,66318.1,66092.7,66284.3,66185.5,28.67338352
1781568000,66284.3,66422.4,66204.2,66215.2,66317.1,98.30596529
1781571600,66213.4,66381.5,66209.2,66305.4,66318.1,49.52638065
1781575200,66305.4,66332.2,65644.4,65702.5,65907.9,92.70937449
1781578800,65702.5,66110.0,65628.5,66109.9,65812.0,60.07409272
1781582400,66110.0,66239.6,65778.5,65818.6,65971.0,36.83282886
1781586000,65818.6,66096.3,65818.5,66034.1,66003.3,45.37136544
1781589600,66034.1,66508.6,66034.0,66410.5,66313.5,78.14710371
1781593200,66410.5,66491.0,66281.8,66336.4,66362.4,66.99723087
1781596800,66336.5,66922.4,66321.4,66844.8,66524.9,67.11440653
1781600400,66844.8,66860.2,66440.3,66470.3,66673.0,37.59950115
1781604000,66470.3,66716.8,66450.0,66473.5,66568.4,30.38120031
1781607600,66473.5,66584.9,66334.5,66434.4,66438.0,25.87030871
1781611200,66434.4,66748.4,66313.8,66379.3,66524.1,57.01942174
1781614800,66379.3,66413.4,65876.5,66108.4,66117.9,74.17085985
