sample,profit_margin,contracts_evaluated,model_signal_contracts,model_signal_rate,approved_trades,approved_trade_rate,approved_trade_rate_ci_low,approved_trade_rate_ci_high,expected_minutes_between_trades,minutes_between_trades_ci_low,minutes_between_trades_ci_high,divergent_trades,divergence_rate,divergence_rate_ci_low,divergence_rate_ci_high,expected_entry_price,entry_price_ci_low,entry_price_ci_high,expected_profit_per_traded_contract,profit_per_traded_contract_ci_low,profit_per_traded_contract_ci_high,expected_profit_per_15m_contract,profit_per_15m_contract_ci_low,profit_per_15m_contract_ci_high,total_profit,total_profit_ci_low,total_profit_ci_high
all,0.11,1158,991,0.8557858376511226,680,0.5872193436960277,0.5578583765112263,0.6157167530224525,25.544117647058822,24.361851332398317,26.888544891640866,12,0.01764705882352941,0.008771929824561403,0.02827417786421499,0.6390072843529412,0.6259754670831442,0.6515710843166101,0.3433456568235294,0.32575989624318935,0.36023472210385615,0.20161921126079446,0.187047591671848,0.21563011440695162,233.47504664,216.601111156,249.69967248324997
all,0.12,1158,991,0.8557858376511226,673,0.581174438687392,0.5509499136442142,0.6096718480138169,25.809806835066865,24.60339943342776,27.225705329153605,12,0.017830609212481426,0.008849557522123894,0.028529601029601014,0.6332746701634473,0.6200988364446794,0.6457397985507566,0.3488947206240713,0.3312952024466993,0.3657769869994084,0.20276869341968912,0.1882011000552677,0.21704037221286696,234.80614698,217.93687386399998,251.33275102249996
all,0.13,1158,991,0.8557858376511226,663,0.572538860103627,0.5431778929188256,0.6010362694300518,26.199095022624434,24.95689655172414,27.615262321144673,12,0.01809954751131222,0.008995165590857265,0.02900763358778626,0.6282576030769231,0.6153021204517751,0.640717629370163,0.35364284941176466,0.3359712684583239,0.3706186817315728,0.20247427388601033,0.18781594309348013,0.21689721559283245,234.46520915999997,217.49086210225,251.16697565649997
all,0.14,1158,991,0.8557858376511226,648,0.5595854922279793,0.5302245250431779,0.5872193436960277,26.805555555555557,25.544117647058822,28.289902280130292,12,0.018518518518518517,0.009188010171825169,0.029688661482785584,0.6199322697222223,0.6072307747128426,0.6322357616323163,0.36154921175925925,0.3438906920894915,0.3788208546808359,0.202317693626943,0.18778936742897237,0.21671051460664942,234.28388922,217.46008748275,250.9507759145
all,0.15,1158,991,0.8557858376511226,637,0.5500863557858376,0.5207253886010362,0.5785837651122625,27.268445839874413,25.925373134328357,28.80597014925373,12,0.018838304552590265,0.009360009914415268,0.030303030303030304,0.6141552586970173,0.6018728885182227,0.6263131442260413,0.36700643675039246,0.3492583999991913,0.38417206946307486,0.2018852333419689,0.1873938158380829,0.21618556037327288,233.78310021,217.0020387405,250.34287891225
all,0.16,1158,991,0.8557858376511226,623,0.5379965457685665,0.5086355785837651,0.5673575129533679,27.881219903691814,26.438356164383563,29.490662139219015,11,0.01765650080256822,0.008142991446201108,0.028708133971291867,0.606330757046549,0.5943325193821033,0.6181315225768841,0.3760127421508828,0.35900870555140224,0.3924591831739921,0.20229355644214161,0.1877551577864853,0.2162456610509499,234.25593836,217.42047271675,250.412475497
all,0.17,1158,991,0.8557858376511226,616,0.531951640759931,0.5025906735751295,0.5604706390328149,28.198051948051948,26.76322330212161,29.84536082474227,11,0.017857142857142856,0.008223684210526315,0.02901078938676648,0.6021538056331168,0.590363285925666,0.6136237731710799,0.37998905150974027,0.3632162818081312,0.3964645469388428,0.20213579942141624,0.18758791804101901,0.21629432988385147,234.07325573,217.2268090915,250.46883400549999
all,0.18,1158,991,0.8557858376511226,609,0.5259067357512953,0.49654576856649396,0.5544041450777202,28.52216748768473,27.05607476635514,30.208695652173912,11,0.0180623973727422,0.008333333333333333,0.02936378466557912,0.5978138842364532,0.5862572361511593,0.6089912399454257,0.38412371839080456,0.36743674982959057,0.4007046060437983,0.20201325086355784,0.18746454552353195,0.21623470408678755,233.93134449999997,217.08394371625,250.39978733249998
all,0.19,1158,991,0.8557858376511226,588,0.5077720207253886,0.4792746113989637,0.5362694300518135,29.54081632653061,27.971014492753625,31.2972972972973,11,0.01870748299319728,0.008620318713276752,0.030456852791878174,0.5889689282312924,0.5775261803810358,0.6002393657854793,0.39232358877551027,0.37535727035671096,0.4088210561405586,0.19921094145077722,0.18461274663406735,0.21340006151230567,230.68627020000002,213.78156060224998,247.11727123124996
all,0.2,1158,991,0.8557858376511226,570,0.49222797927461137,0.4637305699481865,0.5207253886010362,30.47368421052632,28.80597014925373,32.3463687150838,11,0.01929824561403509,0.008880994671403197,0.031360253206122166,0.5808290668947368,0.5694813309048247,0.5919417289638699,0.3998726874912281,0.38284618756351474,0.4168079490544009,0.19682852493091538,0.18229362847042313,0.21104693711571676,227.92743187000002,211.09602176874998,244.39235318
