contract_id,source_file,entry_time,decision_horizon,direction,profit_margin,all_in_cost,fee_adjusted_edge,predicted_diverge_prob,diverge,realized_profit,model_expected_profit,sample
KXBTC15M-26MAY180445-45,combined_KXBTC15M-26MAY180445-45.csv,2026-05-18 08:44:01.262000+00:00,1m,K+NP,0.05,0.8327282500000001,0.16727174999999994,0.04807094180215479,0,0.16727174999999994,0.11920080819784515,all
KXBTC15M-26MAY180500-00,combined_KXBTC15M-26MAY180500-00.csv,2026-05-18 08:59:01.950000+00:00,1m,NK+P,0.05,0.90024325,0.09975674999999995,0.030888865192202204,0,0.09975674999999995,0.06886788480779775,all
KXBTC15M-26MAY180515-15,combined_KXBTC15M-26MAY180515-15.csv,2026-05-18 09:13:01.246000+00:00,2m,K+NP,0.05,0.8831415699999999,0.11685843000000007,0.02896999851449334,0,0.11685843000000007,0.08788843148550674,all
KXBTC15M-26MAY180530-30,combined_KXBTC15M-26MAY180530-30.csv,2026-05-18 09:29:02.288000+00:00,1m,NK+P,0.05,0.6928165300000001,0.3071834699999999,0.05746131830910888,0,0.3071834699999999,0.24972215169089101,all
KXBTC15M-26MAY180600-00,combined_KXBTC15M-26MAY180600-00.csv,2026-05-18 09:59:01.227000+00:00,1m,K+NP,0.05,0.8605611200000001,0.13943887999999993,0.11193314346633963,0,0.13943887999999993,0.0275057365336603,all
KXBTC15M-26MAY180615-15,combined_KXBTC15M-26MAY180615-15.csv,2026-05-18 10:13:00.452000+00:00,2m,K+NP,0.05,0.92795888,0.07204111999999996,0.03753967684484454,0,0.07204111999999996,0.034501443155155416,all
KXBTC15M-26MAY180715-15,combined_KXBTC15M-26MAY180715-15.csv,2026-05-18 11:13:00.909000+00:00,2m,K+NP,0.05,0.8399800000000001,0.16001999999999994,0.06827957863334934,0,0.16001999999999994,0.0917404213666506,all
KXBTC15M-26MAY180815-15,combined_KXBTC15M-26MAY180815-15.csv,2026-05-18 12:13:00.728000+00:00,2m,NK+P,0.05,0.84240325,0.15759674999999995,0.04967836771294124,0,0.15759674999999995,0.10791838228705872,all
KXBTC15M-26MAY180845-45,combined_KXBTC15M-26MAY180845-45.csv,2026-05-18 12:43:32.072000+00:00,2m,NK+P,0.05,0.5378282500000001,0.4621717499999999,0.034228354482555685,0,0.4621717499999999,0.4279433955174442,all
KXBTC15M-26MAY180900-00,combined_KXBTC15M-26MAY180900-00.csv,2026-05-18 12:58:18.326000+00:00,2m,K+NP,0.05,0.91839817,0.08160182999999999,0.07710073036781075,0,0.08160182999999999,0.00450109963218924,all
KXBTC15M-26MAY180915-15,combined_KXBTC15M-26MAY180915-15.csv,2026-05-18 13:13:17.300000+00:00,2m,K+NP,0.05,0.8767130000000001,0.12328699999999992,0.014301710358458583,0,0.12328699999999992,0.10898528964154135,all
KXBTC15M-26MAY180930-30,combined_KXBTC15M-26MAY180930-30.csv,2026-05-18 13:28:01.351000+00:00,2m,K+NP,0.05,0.7028347199999999,0.2971652800000001,0.023954336278223753,0,0.2971652800000001,0.27321094372177634,all
KXBTC15M-26MAY180945-45,combined_KXBTC15M-26MAY180945-45.csv,2026-05-18 13:43:00.710000+00:00,2m,K+NP,0.05,0.91623472,0.08376528000000005,0.017195600153636265,0,0.08376528000000005,0.06656967984636379,all
KXBTC15M-26MAY181030-30,combined_KXBTC15M-26MAY181030-30.csv,2026-05-18 14:29:07.516000+00:00,1m,NK+P,0.05,0.92160208,0.07839792000000001,0.12146656790286631,0,0.07839792000000001,-0.0430686479028663,all
KXBTC15M-26MAY181100-00,combined_KXBTC15M-26MAY181100-00.csv,2026-05-18 14:58:00.414000+00:00,2m,K+NP,0.05,0.8622430000000001,0.1377569999999999,0.051392404276690375,0,0.1377569999999999,0.08636459572330954,all
KXBTC15M-26MAY181115-15,combined_KXBTC15M-26MAY181115-15.csv,2026-05-18 15:14:36.780000+00:00,2m,K+NP,0.05,0.91623472,0.08376528000000005,0.037196923693694574,0,0.08376528000000005,0.04656835630630548,all
KXBTC15M-26MAY181130-30,combined_KXBTC15M-26MAY181130-30.csv,2026-05-18 15:28:22.074000+00:00,2m,K+NP,0.05,0.8499293699999999,0.1500706300000001,0.028285989909685713,0,0.1500706300000001,0.12178464009031438,all
KXBTC15M-26MAY181200-00,combined_KXBTC15M-26MAY181200-00.csv,2026-05-18 15:58:13.905000+00:00,2m,NK+P,0.05,0.442873,0.5571269999999999,0.05665489542601405,0,0.5571269999999999,0.5004721045739858,all
KXBTC15M-26MAY181230-30,combined_KXBTC15M-26MAY181230-30.csv,2026-05-18 16:28:02.709000+00:00,2m,K+NP,0.05,0.43645888,0.56354112,0.004077968158134646,0,0.56354112,0.5594631518418653,all
KXBTC15M-26MAY181245-45,combined_KXBTC15M-26MAY181245-45.csv,2026-05-18 16:43:00.321000+00:00,2m,NK+P,0.05,0.91944325,0.08055674999999995,0.019777126654027036,0,0.08055674999999995,0.06077962334597292,all
KXBTC15M-26MAY181300-00,combined_KXBTC15M-26MAY181300-00.csv,2026-05-18 16:58:03.002000+00:00,2m,NK+P,0.05,0.894003,0.10599700000000001,0.04923893521773777,0,0.10599700000000001,0.05675806478226224,all
KXBTC15M-26MAY181315-15,combined_KXBTC15M-26MAY181315-15.csv,2026-05-18 17:13:02.260000+00:00,2m,NK+P,0.05,0.94074157,0.05925842999999997,0.07311759937205205,0,0.05925842999999997,-0.013859169372052074,all
KXBTC15M-26MAY181400-00,combined_KXBTC15M-26MAY181400-00.csv,2026-05-18 17:59:02.034000+00:00,1m,NK+P,0.05,0.8613250000000001,0.13867499999999988,0.07924922178878345,0,0.13867499999999988,0.05942577821121643,all
KXBTC15M-26MAY181430-30,combined_KXBTC15M-26MAY181430-30.csv,2026-05-18 18:28:06.776000+00:00,2m,K+NP,0.05,0.8488597199999999,0.15114028000000013,0.005749691683710376,0,0.15114028000000013,0.14539058831628976,all
KXBTC15M-26MAY181445-45,combined_KXBTC15M-26MAY181445-45.csv,2026-05-18 18:44:14.292000+00:00,1m,K+NP,0.05,0.93646437,0.06353562999999995,0.06280030872884924,0,0.06353562999999995,0.0007353212711507101,all
KXBTC15M-26MAY181500-00,combined_KXBTC15M-26MAY181500-00.csv,2026-05-18 18:59:20.207000+00:00,1m,K+NP,0.05,0.69408937,0.30591062999999996,0.03770488186763661,0,0.30591062999999996,0.26820574813236336,all
KXBTC15M-26MAY181615-15,combined_KXBTC15M-26MAY181615-15.csv,2026-05-18 20:13:09.241000+00:00,2m,NK+P,0.05,0.48673387999999995,0.51326612,0.04131973873794678,0,0.51326612,0.47194638126205324,all
KXBTC15M-26MAY181630-30,combined_KXBTC15M-26MAY181630-30.csv,2026-05-18 20:29:00.953000+00:00,1m,NK+P,0.05,0.49461972,0.50538028,0.013915087584772431,0,0.50538028,0.49146519241522757,all
KXBTC15M-26MAY181700-00,combined_KXBTC15M-26MAY181700-00.csv,2026-05-18 20:58:11.742000+00:00,2m,K+NP,0.05,0.8770119999999999,0.1229880000000001,0.07036970253392778,0,0.1229880000000001,0.052618297466072314,all
KXBTC15M-26MAY181715-15,combined_KXBTC15M-26MAY181715-15.csv,2026-05-18 21:14:01.757000+00:00,1m,K+NP,0.05,0.918052,0.08194800000000002,0.012942987727456529,0,0.08194800000000002,0.06900501227254349,all
KXBTC15M-26MAY181730-30,combined_KXBTC15M-26MAY181730-30.csv,2026-05-18 21:28:01.225000+00:00,2m,NK+P,0.05,0.87564433,0.12435567000000003,0.05097513261195022,0,0.12435567000000003,0.07338053738804981,all
KXBTC15M-26MAY181800-00,combined_KXBTC15M-26MAY181800-00.csv,2026-05-18 21:58:59.709000+00:00,2m,NK+P,0.05,0.6042347199999999,0.3957652800000001,0.05019616273412513,0,0.3957652800000001,0.34556911726587497,all
