sample,profit_margin,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_all_in_cost,mean_fee_adjusted_edge,mean_predicted_diverge_prob,mean_profit_per_trade,mean_profit_per_contract,total_profit,total_model_expected_profit,bootstrap_expected_total_profit,bootstrap_total_profit_ci_low,bootstrap_total_profit_ci_high,bootstrap_expected_trades,bootstrap_trades_ci_low,bootstrap_trades_ci_high,arb_opportunities,total_arb_opportunity_seconds,avg_arb_opportunity_seconds,bootstrap_expected_avg_arb_opportunity_seconds,bootstrap_avg_arb_opportunity_seconds_ci_low,bootstrap_avg_arb_opportunity_seconds_ci_high
calibration,0.26,232,205,105,0.4525862068965517,7,0.06666666666666667,0.5773474733333334,0.42265252666666664,0.048937213860966555,0.35598586000000004,0.16111429008620692,37.378515300000004,39.24010784459851,37.363505717095,29.4547069715,45.113387771750006,105.1305,90.975,120.0,150,2892.89,19.285933333333332,19.325328096447134,16.472935111594992,22.537499519011835
calibration,0.27,232,205,102,0.4396551724137931,7,0.06862745098039216,0.5715685024509805,0.4284314975490196,0.04893246950780446,0.35980404656862747,0.15818971012931035,36.70001275,38.70890086020395,36.615471177505,28.87951616,44.38697844949999,101.5475,87.0,116.0,148,2725.487,18.4154527027027,18.3923118058,15.608317500000002,21.348124347277142
calibration,0.28,232,205,97,0.41810344827586204,7,0.07216494845360824,0.5627402183505155,0.4372597816494846,0.04969263210850613,0.36509483319587627,0.15264740870689653,35.414198819999996,37.594013505474905,35.515177017485,27.672288651749998,43.07632371974999,97.1085,83.0,111.0,143,2640.608,18.46579020979021,18.51831802712544,15.639828477443606,21.462958227370688
calibration,0.29,232,205,95,0.40948275862068967,7,0.07368421052631578,0.5594606308421052,0.4405393691578948,0.04986271169977563,0.36685515863157897,0.15022086237068966,34.85124007,37.114282458521316,34.75008470254,27.063774143999996,42.6952099905,95.223,80.0,110.0,139,2562.252,18.43346762589928,18.48640775917105,15.675311564171121,21.678037314814812
calibration,0.3,232,205,92,0.39655172413793105,7,0.07608695652173914,0.5545466652173913,0.44545333478260873,0.04941985152829166,0.36936637826086954,0.14647287413793103,33.9817068,36.43508045939717,33.99511821965499,26.3776567605,41.8147460945,91.926,78.0,107.0,136,2491.013,18.31627205882353,18.349307620476132,15.520970094866072,21.618092441986256
calibration,0.31,232,205,90,0.3879310344827586,7,0.07777777777777778,0.5493035963333333,0.4506964036666667,0.04855882807455204,0.3729186258888889,0.14466670831896553,33.56267633,36.19238180329032,33.504844194985,25.6908093175,41.02662706224999,90.022,76.0,105.0,130,2448.389,18.83376153846154,18.853262628159833,15.682678512396695,22.17986142961316
calibration,0.32,232,205,88,0.3793103448275862,7,0.07954545454545454,0.5421446275,0.4578553725,0.048070692345085625,0.37830991795454544,0.1434968654310345,33.29127278,36.06105185363246,33.312480965759995,25.499191541,41.156905247,87.841,73.975,103.0,127,2376.6459999999997,18.71374803149606,18.76522573366933,15.755169760044641,22.070826135080896
calibration,0.33,232,205,86,0.3706896551724138,7,0.08139534883720931,0.5387994825581394,0.4612005174418606,0.04689525608761006,0.37980516860465113,0.14078984698275862,32.6632445,35.630252476465536,32.6426210429,25.134006097250005,40.38780582174999,86.022,72.0,100.0,126,2347.652,18.632158730158732,18.694545146769677,15.83771020002447,22.096948267125427
calibration,0.34,232,205,85,0.36637931034482757,7,0.08235294117647059,0.5334021517647057,0.4665978482352942,0.04739548106784313,0.3842449070588236,0.14077938405172416,32.6608171,35.63220120923334,32.717649271824996,25.267785185,40.082355302749995,85.178,71.0,99.0,125,2310.63,18.48504,18.548342104794518,15.424648625438417,22.091841360281435
calibration,0.35,232,205,81,0.34913793103448276,7,0.08641975308641975,0.5260800848148148,0.4739199151851851,0.047428398585481334,0.3875001620987654,0.13529100487068965,31.38751313,34.54581284457601,31.33993762673,23.68803658125,38.98244340224999,81.226,67.0,95.0,118,2232.227,18.917177966101693,18.965277373608966,15.849145555555555,22.748763579545447
calibration,0.36,232,205,78,0.33620689655172414,7,0.08974358974358974,0.5204276780769229,0.47957232192307697,0.046381787801194445,0.38982873217948716,0.13106310823275863,30.40664111,33.788861661506836,30.537158086689995,23.177668569499996,37.72899877299999,77.9175,64.0,92.0,116,2157.983,18.603301724137932,18.63936935622865,15.528114675897749,22.01595018878101
calibration,0.37,232,205,76,0.3275862068965517,7,0.09210526315789473,0.5166262711842105,0.48337372881578955,0.04708886233912611,0.3912684656578947,0.12817415254310344,29.736403389999996,33.15764985222641,29.7054447828,22.50162877,37.157039258750004,75.9425,62.0,91.0,114,2089.805,18.331622807017542,18.352587397554423,15.362281572874135,21.80386944249922
calibration,0.38,232,205,75,0.3232758620689655,7,0.09333333333333334,0.5131226831999999,0.4868773168000001,0.04755061880528199,0.39354398346666664,0.1272232705172414,29.51579876,32.94950234960385,29.58574853476,22.192001127,37.42796993475,75.133,61.975,90.0,113,2060.33,18.23300884955752,18.266465868883643,15.172646918892585,21.811654808024905
calibration,0.39,232,205,74,0.31896551724137934,7,0.0945945945945946,0.5100558048648647,0.48994419513513526,0.046639657101237145,0.3953496005405405,0.1261028898275862,29.25587044,32.804535814508455,29.24477082535,21.940359481999998,36.59375640249999,74.1395,60.0,89.0,112,2035.679,18.175705357142856,18.128258183772324,14.976831379870129,21.836062958953114
calibration,0.4,232,205,71,0.30603448275862066,7,0.09859154929577464,0.5055330636619717,0.4944669363380283,0.046937072746292184,0.3958753870422535,0.12115151931034483,28.10715248,31.774620315013255,28.087794507614998,20.491033435749998,35.551877185999984,71.314,58.0,85.0,108,1983.6680000000001,18.3672962962963,18.405913983479106,15.143291170195955,22.09791138586956
calibration,0.41,232,205,70,0.3017241379310345,7,0.1,0.5009839982857143,0.49901600171428573,0.04616237165090946,0.39901600171428564,0.12039275913793102,27.931120119999996,31.699754104436337,27.79399918484,20.110817354250003,35.351903807250004,69.8925,56.0,83.0,105,1963.1250000000002,18.696428571428573,18.753771227396864,15.453685241221809,22.502109397874847
calibration,0.42,232,205,67,0.28879310344827586,7,0.1044776119402985,0.4956034882089551,0.5043965117910448,0.04551975967269054,0.3999188998507463,0.11549382021551725,26.794566290000002,30.744742391929734,26.861558539054997,19.650077614,34.57747761025001,66.988,54.0,81.0,100,1896.0280000000002,18.96028,18.99330680450915,15.837630481557378,22.963131130434782
calibration,0.43,232,205,66,0.28448275862068967,7,0.10606060606060606,0.4916508922727272,0.5083491077272728,0.0457346678518155,0.4022885016666667,0.11444414271551724,26.55104111,30.532553031780175,26.438465509875,19.0227727925,33.890260657499994,66.1085,53.0,79.0,99,1850.1760000000002,18.688646464646467,18.748987608735597,15.381929788390229,22.61890669153137
calibration,0.44,232,205,62,0.2672413793103448,7,0.11290322580645161,0.4867085385483871,0.5132914614516129,0.047118801703484516,0.4003882356451613,0.10700030435344828,24.82407061,28.90270490438396,24.87867705845,18.059452908499996,32.33006816899999,62.1275,49.975,75.0,92,1655.3780000000002,17.993239130434784,18.025258603041316,14.585183708907739,22.222089976415088
calibration,0.45,232,205,58,0.25,7,0.1206896551724138,0.48150100603448276,0.5184989939655172,0.04831884273190511,0.3978093387931034,0.09945233469827584,23.072941649999997,27.270448771549503,23.233113729575003,16.10736217725,30.48723602199999,57.9875,45.0,70.0,88,1543.855,17.543806818181817,17.572905537330403,14.432408741229535,21.126446785714283
