sample,threshold_2m,threshold_1m,profit_margin,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_all_in_cost,mean_fee_adjusted_edge,mean_predicted_diverge_prob,mean_profit_per_trade,mean_profit_per_contract,total_profit,total_model_expected_profit,trades_from_2m,trades_from_1m
calibration,0.005,0.07881355932203389,0.18,232,165,62,0.2672413793103448,4,0.06451612903225806,0.608127018064516,0.39187298193548387,0.039587495709298745,0.3273568529032258,0.08748329689655172,20.29612488,21.84170014602348,3,59
calibration,0.005,0.08,0.18,232,166,62,0.2672413793103448,4,0.06451612903225806,0.608127018064516,0.39187298193548387,0.039587495709298745,0.3273568529032258,0.08748329689655172,20.29612488,21.84170014602348,3,59
calibration,0.005,0.085,0.18,232,172,65,0.2801724137931034,4,0.06153846153846154,0.6118947473846154,0.3881052526153846,0.04154320754843904,0.32656679107692305,0.09149500612068966,21.22684142,22.526532929351465,3,62
calibration,0.005,0.09,0.18,232,176,67,0.28879310344827586,4,0.05970149253731343,0.6120135253731342,0.38798647462686564,0.042897693810684846,0.3282849820895522,0.09480643879310345,21.9950938,23.120948314684117,3,64
calibration,0.005,0.095,0.18,232,179,69,0.2974137931034483,4,0.057971014492753624,0.6126634099999998,0.38733659,0.0442951351994235,0.3293655755072463,0.09795786512931033,22.726224709999997,23.66986038123978,3,66
calibration,0.005,0.1,0.18,232,183,71,0.30603448275862066,4,0.056338028169014086,0.6171673004225351,0.38283269957746485,0.04579699796665508,0.32649467140845073,0.09991862788793104,23.181121670000003,23.92953481436749,3,68
calibration,0.005,0.105,0.18,232,185,72,0.3103448275862069,4,0.05555555555555555,0.6168648291666666,0.38313517083333337,0.04661312305070689,0.32757961527777785,0.10166263922413794,23.585732300000004,24.229587440349103,3,69
calibration,0.005,0.11,0.18,232,186,73,0.3146551724137931,4,0.0547945205479452,0.6180997219178082,0.38190027808219174,0.0474641939292122,0.3271057575342466,0.10292551853448276,23.8787203,24.41383414316751,3,70
calibration,0.005,0.115,0.18,232,191,77,0.33189655172413796,4,0.05194805194805195,0.6213131707792208,0.3786868292207792,0.05076656924371176,0.3267387772727272,0.1084434734913793,25.158885849999997,25.249860018234198,3,74
calibration,0.005,0.12,0.18,232,192,77,0.33189655172413796,4,0.05194805194805195,0.6213131707792208,0.3786868292207792,0.05076656924371176,0.3267387772727272,0.1084434734913793,25.158885849999997,25.249860018234198,3,74
calibration,0.005,0.125,0.18,232,194,78,0.33620689655172414,5,0.0641025641025641,0.6232793214102563,0.37672067858974356,0.05170799173888003,0.31261811448717947,0.10510436607758619,24.384212929999997,25.350989574367357,3,75
calibration,0.005,0.13,0.18,232,196,79,0.34051724137931033,5,0.06329113924050633,0.624998232278481,0.375001767721519,0.05265024071500872,0.31171062848101266,0.10614284331896552,24.62513965,25.46577063351431,3,76
calibration,0.005,0.13288135593220338,0.18,232,199,82,0.35344827586206895,5,0.06097560975609756,0.6304631357317073,0.3695368642682927,0.05553457596615817,0.3085612545121951,0.1090604434051724,25.30202287,25.74818764077503,3,79
calibration,0.005,0.135,0.18,232,199,82,0.35344827586206895,5,0.06097560975609756,0.6304631357317073,0.3695368642682927,0.05553457596615817,0.3085612545121951,0.1090604434051724,25.30202287,25.74818764077503,3,79
calibration,0.005,0.14,0.18,232,201,84,0.3620689655172414,6,0.07142857142857142,0.6348310505952379,0.3651689494047619,0.05749441134635453,0.29374037797619046,0.10635427478448276,24.67419175,25.84466119690622,3,81
calibration,0.005,0.145,0.18,232,202,84,0.3620689655172414,6,0.07142857142857142,0.6348310505952379,0.3651689494047619,0.05749441134635453,0.29374037797619046,0.10635427478448276,24.67419175,25.84466119690622,3,81
calibration,0.005,0.15,0.18,232,205,87,0.375,6,0.06896551724137931,0.6372559744827585,0.3627440255172414,0.06057118999505356,0.2937785082758621,0.11016694060344828,25.55873022,26.28903669043034,3,84
calibration,0.005,0.155,0.18,232,208,88,0.3793103448275862,6,0.06818181818181818,0.6364536779545454,0.36354632204545456,0.06158830938566486,0.2953645038636364,0.11203481181034483,25.99207634,26.572305114061493,3,85
calibration,0.005,0.16,0.18,232,210,90,0.3879310344827586,7,0.07777777777777778,0.6392464887777777,0.3607535112222222,0.06372172911251302,0.28297573344444443,0.10977506900862069,25.46781601,26.732860389873828,3,87
calibration,0.005,0.165,0.18,232,211,90,0.3879310344827586,7,0.07777777777777778,0.6392464887777777,0.3607535112222222,0.06372172911251302,0.28297573344444443,0.10977506900862069,25.46781601,26.732860389873828,3,87
