sample,floor_label,polymarket_price_floor,profit_margin,profit_margin_cents,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_polymarket_price,mean_all_in_cost,mean_fee_adjusted_edge,mean_profit_per_trade,mean_profit_per_contract,total_profit,total_model_expected_profit,bootstrap_expected_total_profit,bootstrap_total_profit_ci_low,bootstrap_total_profit_ci_high,bootstrap_expected_trades,bootstrap_trades_ci_low,bootstrap_trades_ci_high
calibration,none,0.0,0.82,82,232,205,7,0.03017241379310345,5,0.7142857142857143,0.08857142857142859,0.10485501857142857,0.8951449814285715,0.18085926714285713,0.005456960646551724,1.26601487,5.9353781180213705,1.1438404163999998,-0.8212733465000001,4.015444831499999,6.86,2.0,13.0
calibration,none,0.0,0.83,83,232,205,7,0.03017241379310345,5,0.7142857142857143,0.08857142857142859,0.10485501857142857,0.8951449814285715,0.18085926714285713,0.005456960646551724,1.26601487,5.9353781180213705,1.1449712681000002,-0.8524976584999999,4.351870301999998,7.142,3.0,13.0
calibration,none,0.0,0.84,84,232,205,6,0.02586206896551724,4,0.6666666666666666,0.06833333333333333,0.08232802166666667,0.9176719783333334,0.2510053116666667,0.006491516681034483,1.5060318700000002,5.202220368559017,1.54548711288,-0.4329879200000001,4.40544589,5.972,2.0,11.0
calibration,none,0.0,0.85,85,232,205,6,0.02586206896551724,4,0.6666666666666666,0.06833333333333333,0.08232802166666667,0.9176719783333334,0.2510053116666667,0.006491516681034483,1.5060318700000002,5.202220368559017,1.56803537948,-0.52592806475,5.141498057499996,5.874,2.0,11.0
calibration,none,0.0,0.86,86,232,205,6,0.02586206896551724,4,0.6666666666666666,0.055,0.06826993333333334,0.9317300666666667,0.2650634,0.006855087931034482,1.5903804,5.2865688985590165,1.4264582653399998,-0.44316283824999997,4.413198858749999,6.032,2.0,11.0
calibration,none,0.0,0.87,87,232,205,6,0.02586206896551724,4,0.6666666666666666,0.055,0.06826993333333334,0.9317300666666667,0.2650634,0.006855087931034482,1.5903804,5.2865688985590165,1.6641385375799997,-0.37725458525000005,4.482286365749999,5.936,2.0,11.0
calibration,none,0.0,0.88,88,232,205,6,0.02586206896551724,4,0.6666666666666666,0.055,0.06826993333333334,0.9317300666666667,0.2650634,0.006855087931034482,1.5903804,5.2865688985590165,1.49845986946,-0.42117127675,4.506849003749999,5.89,2.0,11.0
calibration,none,0.0,0.89,89,232,205,6,0.02586206896551724,4,0.6666666666666666,0.055,0.06826993333333334,0.9317300666666667,0.2650634,0.006855087931034482,1.5903804,5.2865688985590165,1.4493693594000001,-0.38169424825,4.34221974875,5.924,1.0,10.0
calibration,none,0.0,0.9,90,232,205,6,0.02586206896551724,4,0.6666666666666666,0.055,0.06826993333333334,0.9317300666666667,0.2650634,0.006855087931034482,1.5903804,5.2865688985590165,1.6169260230599998,-0.36052432,4.409726357499999,6.058,2.0,11.0
calibration,none,0.0,0.91,91,232,205,6,0.02586206896551724,4,0.6666666666666666,0.05333333333333334,0.0665341,0.9334659,0.26679923333333333,0.006899980172413793,1.6007954,5.2969838985590165,1.6050729983599998,-0.40225476825,4.466660493999999,5.96,2.0,11.0
calibration,none,0.0,0.92,92,232,205,6,0.02586206896551724,4,0.6666666666666666,0.045000000000000005,0.05782993333333333,0.9421700666666667,0.2755034,0.007125087931034483,1.6530204,5.3492088985590165,1.67773109252,-0.26043610975,4.5138196834999995,6.014,2.0,11.0
calibration,none,0.0,0.93,93,232,205,6,0.02586206896551724,4,0.6666666666666666,0.04,0.055785633333333334,0.9442143666666666,0.2775477,0.00717795775862069,1.6652862000000002,5.361474698559016,1.7731406224000001,-0.2887526765,4.592099791999999,5.946,1.0,11.0
calibration,none,0.0,0.94,94,232,205,5,0.021551724137931036,4,0.8,0.028000000000000004,0.03256225,0.96743775,0.16743775,0.0036085721982758623,0.83718875,4.586004242728445,0.84714692872,-0.22775297500000002,3.649765391499999,4.768,1.0,9.524999999999977
