price_col,low,high,spot_mode,min_favorable_distance,max_abs_distance,rule,opportunities,known_quantity_rows,missing_quantity_rows,successes,failures,total_floor_contract_capacity,median_floor_contract_capacity,max_floor_contract_capacity,scaled_gross_profit_before_fees,scaled_fees,scaled_net_profit,scaled_turnover_cost,max_single_trade_cost,min_cumulative_pnl,max_drawdown
mid_p,0.6,0.85,agrees,50.0,150.0,0.60 < mid p < 0.85; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,34,27,7,29,5,28927,549.0,5236,7757.56,411.699358,7345.860642,20517.44,3508.1200000000003,-145.98815399999998,-222.84841400000005
mid_p,0.6,0.825,agrees,50.0,150.0,0.60 < mid p < 0.82; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,30,27,3,25,5,28927,549.0,5236,7757.56,411.69935799999996,7345.860642,20517.44,3508.1200000000003,-145.98815399999998,-222.84841400000005
mid_p,0.6,0.8,agrees,50.0,150.0,0.60 < mid p < 0.80; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,27,27,0,23,4,28927,549.0,5236,7757.5599999999995,411.699358,7345.860642,20517.439999999995,3508.1200000000003,-145.98815399999998,-222.84841400000005
mid_p,0.6,0.925,agrees,50.0,150.0,0.60 < mid p < 0.93; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,39,27,12,34,5,28927,549.0,5236,7757.56,411.699358,7345.860641999999,20517.439999999995,3508.1200000000003,-145.98815399999998,-222.84841400000005
mid_p,0.6,0.875,agrees,50.0,150.0,0.60 < mid p < 0.88; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,37,27,10,32,5,28927,549.0,5236,7757.56,411.69935799999996,7345.860641999999,20517.439999999995,3508.1200000000003,-145.98815399999998,-222.84841400000005
ask_p,0.575,0.75,agrees,50.0,150.0,0.57 < ask p < 0.75; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,20,20,0,17,3,24361,827.5,5236,7675.740000000001,372.10339600000003,7303.636603999999,16349.260000000002,3508.1200000000003,-147.77930999999998,-183.67418999999998
mid_p,0.6,0.925,agrees,,,0.60 < mid p < 0.93; spot agrees with selected side,71,50,21,60,11,55602,625.5,5236,8081.119999999999,802.4272060000003,7278.692794000001,38968.880000000005,3508.1200000000003,-3767.819047,-3295.470727
mid_p,0.6,0.8,agrees,,,0.60 < mid p < 0.80; spot agrees with selected side,50,50,0,42,8,55602,625.5,5236,8081.12,802.4272060000001,7278.6927940000005,38968.88,3508.1200000000003,-3767.819047,-3295.470727
mid_p,0.6,0.9,agrees,,,0.60 < mid p < 0.90; spot agrees with selected side,67,50,17,57,10,55602,625.5,5236,8081.120000000001,802.4272060000001,7278.692794,38968.88,3508.1200000000003,-3767.819047,-3295.470727
mid_p,0.6,0.825,agrees,,,0.60 < mid p < 0.82; spot agrees with selected side,53,50,3,44,9,55602,625.5,5236,8081.120000000001,802.4272060000001,7278.692794,38968.880000000005,3508.1200000000003,-3767.819047,-3295.470727
