open_time_ts,open_time_utc,open,high,low,close,volume,close_time_ts,close_time_utc,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,binance_direction
1778227200,2026-05-08T08:00:00+00:00,79682.4,79748.58000000,79666.05000000,79724.63,147.28358000,1778228099,2026-05-08T08:14:59+00:00,11738913.03800890,14800,85.71145000,6831451.40853880,Up
1778228100,2026-05-08T08:15:00+00:00,79724.63,79805.16000000,79702.75000000,79756.74,185.66635000,1778228999,2026-05-08T08:29:59+00:00,14808346.61341970,15543,129.70513000,10344494.91153210,Up
1778229000,2026-05-08T08:30:00+00:00,79756.73,79899.39000000,79750.06000000,79893.69,177.92475000,1778229899,2026-05-08T08:44:59+00:00,14202674.76649900,15310,131.18077000,10471935.69937490,Up
1778229900,2026-05-08T08:45:00+00:00,79893.69,79987.27000000,79880.99000000,79886.01,117.72168000,1778230799,2026-05-08T08:59:59+00:00,9409616.65199170,17507,62.55904000,5000615.03918780,Down
1778230800,2026-05-08T09:00:00+00:00,79886.0,80000.00000000,79831.21000000,79980.31,101.71262000,1778231699,2026-05-08T09:14:59+00:00,8129868.53798020,13322,62.89107000,5026642.56261700,Up
1778231700,2026-05-08T09:15:00+00:00,79980.31,80061.17000000,79900.03000000,79908.1,203.50218000,1778232599,2026-05-08T09:29:59+00:00,16275638.15032590,19230,71.14826000,5690953.75208380,Down
1778232600,2026-05-08T09:30:00+00:00,79908.1,79934.19000000,79847.81000000,79863.71,88.20140000,1778233499,2026-05-08T09:44:59+00:00,7046376.89948090,11122,43.63583000,3485732.78658400,Down
1778233500,2026-05-08T09:45:00+00:00,79863.72,79894.00000000,79794.88000000,79872.72,88.39431000,1778234399,2026-05-08T09:59:59+00:00,7057459.33944200,14302,36.75728000,2934766.54454100,Up
1778234400,2026-05-08T10:00:00+00:00,79872.72,80020.00000000,79788.01000000,79818.83,118.00504000,1778235299,2026-05-08T10:14:59+00:00,9430309.95177280,18874,69.04753000,5519006.58650530,Down
1778235300,2026-05-08T10:15:00+00:00,79818.83,79928.00000000,79818.83000000,79899.4,69.40709000,1778236199,2026-05-08T10:29:59+00:00,5543200.32216730,13308,39.65790000,3167258.40132280,Up
1778236200,2026-05-08T10:30:00+00:00,79899.4,80169.70000000,79899.40000000,80158.88,158.09679000,1778237099,2026-05-08T10:44:59+00:00,12658231.17051420,23918,112.67900000,9022532.67877530,Up
1778237100,2026-05-08T10:45:00+00:00,80158.89,80278.92000000,80130.67000000,80212.56,305.29872000,1778237999,2026-05-08T10:59:59+00:00,24487576.54584310,29193,163.86104000,13141953.21950380,Up
