feature,allow_rule,threshold,allowed_dangerous,blocked_dangerous,blocked_safe,allowed_safe,false_positive_rate_allowed_danger,false_negative_rate_blocked_safe,score
seconds_to_expiry,seconds_to_expiry >= 330.112,330.112,1440,1168,5220,8093,0.5521472392638037,0.3920979493727935,0.9442451886365972
seconds_to_expiry,seconds_to_expiry >= 373.052,373.052,1312,1296,5886,7427,0.5030674846625767,0.4421242394651844,0.9451917241277611
seconds_to_expiry,seconds_to_expiry >= 416.516,416.516,1184,1424,6550,6763,0.4539877300613497,0.49200030045819876,0.9459880305195485
seconds_to_expiry,seconds_to_expiry >= 458.794,458.794,1061,1547,7228,6085,0.40682515337423314,0.5429279651468489,0.9497531185210821
seconds_to_expiry,seconds_to_expiry >= 502.016,502.016,955,1653,7918,5395,0.36618098159509205,0.5947570044317584,0.9609379860268504
seconds_to_expiry,seconds_to_expiry >= 547.728,547.728,839,1769,8596,4717,0.32170245398773006,0.6456846691204087,0.9673871231081388
seconds_to_expiry,seconds_to_expiry >= 594.385,594.385,719,1889,9270,4043,0.27569018404907975,0.6963118756103057,0.9720020596593855
seconds_to_expiry,seconds_to_expiry >= 642.979,642.979,589,2019,9934,3379,0.2258435582822086,0.7461879366033201,0.9720314948855286
seconds_to_expiry,seconds_to_expiry >= 696.557,696.557,463,2145,10600,2713,0.17753067484662577,0.796214226695711,0.9737449015423367
seconds_to_expiry,seconds_to_expiry >= 744.557,744.557,342,2266,11272,2041,0.13113496932515337,0.8466912040862316,0.9778261734113849
seconds_to_expiry,seconds_to_expiry >= 793.709,793.709,214,2394,11939,1374,0.08205521472392638,0.8967926087283107,0.9788478234522371
seconds_to_expiry,seconds_to_expiry >= 839.191,839.191,92,2516,12611,702,0.0352760736196319,0.9472695861188312,0.9825456597384631
seconds_to_expiry,seconds_to_expiry >= 896.053,896.053,0,2608,13312,1,0.0,0.9999248854503118,0.9999248854503118
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0,0.0,3,2605,13286,27,0.0011503067484662577,0.9979719071584165,0.9991222139068828
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.0517486,0.051748591806135225,106,2502,12598,715,0.040644171779141106,0.9462930969728837,0.9869372687520248
