contract_id,seconds_to_expiry_bucket,timestamp_utc,source_price_gap,min_distance_from_target,gap_to_min_distance_ratio,price_direction_agreement
KXBTC15M-26MAY170830-30,60,2026-05-17T12:28:59.594Z,6.352199737040792,20.460000000006403,0.31046919535869033,False
KXBTC15M-26MAY170830-30,30,2026-05-17T12:29:29.741Z,9.335225000002538,4.7700000000040745,1.9570702306068268,False
KXBTC15M-26MAY170830-30,15,2026-05-17T12:29:43.830Z,9.824429854386835,6.0200000000040745,1.631965092089732,False
KXBTC15M-26MAY170830-30,5,2026-05-17T12:29:53.613Z,5.910210289250244,21.85000000000582,0.27049017342099174,False
KXBTC15M-26MAY170830-30,0,2026-05-17T12:29:59.639Z,9.833742377057206,6.0200000000040745,1.6335120227658722,False
KXBTC15M-26MAY170930-30,900,2026-05-17T13:15:10.418Z,37.681092574071954,5.119999999995343,7.359588393380122,False
KXBTC15M-26MAY170930-30,600,2026-05-17T13:19:58.466Z,9.60312801063992,5.5127981366968015,1.7419698259428729,True
KXBTC15M-26MAY170930-30,300,2026-05-17T13:24:57.340Z,19.540501000577933,21.479999999995925,0.9097067504926275,True
KXBTC15M-26MAY170930-30,180,2026-05-17T13:26:58.708Z,5.157373053225456,0.553299200561014,9.321128691305123,True
KXBTC15M-26MAY170930-30,120,2026-05-17T13:27:59.727Z,14.857976077633793,11.169999999998254,1.330167956816125,False
KXBTC15M-26MAY170930-30,90,2026-05-17T13:28:29.730Z,2.5779702951549552,6.119999999995343,0.4212369763328295,False
KXBTC15M-26MAY170930-30,60,2026-05-17T13:28:59.749Z,29.070000269566663,3.744073583104182,7.764270553001513,True
KXBTC15M-26MAY170930-30,30,2026-05-17T13:29:29.717Z,5.701444106001873,6.7299999999959255,0.8471685150082205,False
KXBTC15M-26MAY170930-30,15,2026-05-17T13:29:43.763Z,12.134284957617638,6.7299999999959255,1.8030141096025236,False
KXBTC15M-26MAY170930-30,5,2026-05-17T13:29:53.697Z,13.0063711545954,6.7299999999959255,1.9325960110851819,False
KXBTC15M-26MAY170930-30,0,2026-05-17T13:29:59.815Z,18.99019500000577,7.440000000002328,2.552445564516106,False
KXBTC15M-26MAY171030-30,900,2026-05-17T14:15:25.804Z,69.05318536056438,1.389999999999418,49.67855061913187,True
KXBTC15M-26MAY171030-30,600,2026-05-17T14:19:59.986Z,25.65589500000351,88.80999999999767,0.2888852043689245,True
KXBTC15M-26MAY171030-30,300,2026-05-17T14:24:57.951Z,35.66688000000431,74.20804824636434,0.4806335814357135,True
KXBTC15M-26MAY171030-30,180,2026-05-17T14:26:58.682Z,89.92117999999027,27.986251753623947,3.2130483492969493,False
KXBTC15M-26MAY171030-30,120,2026-05-17T14:27:58.788Z,9.832479999997304,31.25,0.3146393599999137,True
KXBTC15M-26MAY171030-30,90,2026-05-17T14:28:28.820Z,8.925170000002254,28.880000000004657,0.30904328254850466,True
KXBTC15M-26MAY171030-30,60,2026-05-17T14:28:58.782Z,23.345629999996163,15.559441753634019,1.5004156556287518,True
KXBTC15M-26MAY171030-30,30,2026-05-17T14:29:28.665Z,7.25711500000034,7.610000000000582,0.9536287779237562,True
KXBTC15M-26MAY171030-30,15,2026-05-17T14:29:44.735Z,11.078370000002906,4.399999999994179,2.5178113636403547,False
KXBTC15M-26MAY171030-30,5,2026-05-17T14:29:54.678Z,29.05652499999269,9.020000000004075,3.2213442350309935,False
KXBTC15M-26MAY171030-30,0,2026-05-17T14:30:00.906Z,50.23015000000305,11.470000000001164,4.379263295553439,False
